,Sex,Survived,Pclass,Age,Fare,Embarked,Titles,TicketTitles,CabinTitles,FamilyType
0,0,0,3,22.0,7.25,2,1.0,4,1,1
1,1,1,1,38.0,71.2833,1,2.0,2,2,1
2,1,1,3,26.0,7.925,2,3.0,5,1,0
3,1,1,1,35.0,53.1,2,2.0,1,2,1
4,0,0,3,35.0,8.05,2,1.0,1,1,0
6,0,0,1,54.0,51.8625,2,1.0,1,5,0
7,0,0,3,2.0,21.075,2,4.0,1,1,4
8,1,1,3,27.0,11.1333,2,2.0,1,1,2
9,1,1,2,14.0,30.0708,1,2.0,1,1,1
10,1,1,3,4.0,16.7,2,3.0,13,8,2
11,1,1,1,58.0,26.55,2,3.0,1,2,0
12,0,0,3,20.0,8.05,2,1.0,4,1,0
13,0,0,3,39.0,31.275,2,1.0,1,1,6
14,1,0,3,14.0,7.8542,2,3.0,1,1,0
15,1,1,2,55.0,16.0,2,2.0,1,1,0
16,0,0,3,2.0,29.125,3,4.0,1,1,5
18,1,0,3,31.0,18.0,2,2.0,1,1,1
20,0,0,2,35.0,26.0,2,1.0,1,1,0
21,0,1,2,34.0,13.0,2,1.0,1,4,0
22,1,1,3,15.0,8.0292,3,3.0,1,1,0
23,0,1,1,28.0,35.5,2,1.0,1,6,0
24,1,0,3,8.0,21.075,2,3.0,1,1,4
25,1,1,3,38.0,31.3875,2,2.0,1,1,6
27,0,0,1,19.0,263.0,2,1.0,1,2,5
30,0,0,1,40.0,27.7208,1,9.0,2,1,0
33,0,0,2,66.0,10.5,2,1.0,3,1,0
34,0,0,1,28.0,82.1708,1,1.0,2,1,1
35,0,0,1,42.0,52.0,2,1.0,1,1,1
37,0,0,3,21.0,8.05,2,1.0,4,1,0
38,1,0,3,18.0,18.0,2,3.0,1,1,2
39,1,1,3,14.0,11.2417,1,3.0,1,1,1
40,1,0,3,40.0,9.475,2,2.0,1,1,1
41,1,0,2,27.0,21.0,2,2.0,1,1,1
43,1,1,2,3.0,41.5792,1,3.0,9,1,3
44,1,1,3,19.0,7.8792,3,3.0,1,1,0
49,1,0,3,18.0,17.8,2,2.0,1,1,1
50,0,0,3,7.0,39.6875,2,4.0,1,1,5
51,0,0,3,21.0,7.8,2,1.0,4,1,0
52,1,1,1,49.0,76.7292,1,2.0,2,4,1
53,1,1,2,29.0,26.0,2,2.0,1,1,1
54,0,0,1,65.0,61.9792,1,1.0,1,3,1
56,1,1,2,21.0,10.5,2,3.0,3,1,0
57,0,0,3,28.5,7.2292,1,1.0,1,1,0
58,1,1,2,5.0,27.75,2,3.0,3,1,3
59,0,0,3,11.0,46.9,2,4.0,8,1,7
60,0,0,3,22.0,7.2292,1,1.0,1,1,0
62,0,0,1,45.0,83.475,2,1.0,1,2,1
63,0,0,3,4.0,27.9,2,4.0,1,1,5
66,1,1,2,29.0,10.5,2,2.0,3,7,0
67,0,0,3,19.0,8.1583,2,1.0,7,1,0
68,1,1,3,17.0,7.925,2,3.0,1,1,6
69,0,0,3,26.0,8.6625,2,1.0,1,1,2
70,0,0,2,32.0,10.5,2,1.0,3,1,0
71,1,0,3,16.0,46.9,2,3.0,8,1,7
72,0,0,2,21.0,73.5,2,1.0,7,1,0
73,0,0,3,26.0,14.4542,1,1.0,1,1,1
74,0,1,3,32.0,56.4958,2,1.0,1,1,0
75,0,0,3,25.0,7.65,2,1.0,1,7,0
78,0,1,2,0.83,29.0,2,4.0,1,1,2
79,1,1,3,30.0,12.475,2,3.0,1,1,0
80,0,0,3,22.0,9.0,2,1.0,1,1,0
81,0,1,3,29.0,9.5,2,1.0,1,1,0
83,0,0,1,28.0,47.1,2,1.0,1,1,0
84,1,1,2,17.0,10.5,2,3.0,18,1,0
85,1,1,3,33.0,15.85,2,2.0,1,1,3
86,0,0,3,16.0,34.375,2,1.0,10,1,4
88,1,1,1,23.0,263.0,2,3.0,1,2,5
89,0,0,3,24.0,8.05,2,1.0,1,1,0
90,0,0,3,29.0,8.05,2,1.0,1,1,0
91,0,0,3,20.0,7.8542,2,1.0,1,1,0
92,0,0,1,46.0,61.175,2,1.0,10,5,1
93,0,0,3,26.0,20.575,2,1.0,3,1,3
94,0,0,3,59.0,7.25,2,1.0,1,1,0
96,0,0,1,71.0,34.6542,1,1.0,2,6,0
97,0,1,1,23.0,63.3583,1,1.0,2,4,1
98,1,1,2,34.0,23.0,2,2.0,1,1,1
99,0,0,2,34.0,26.0,2,1.0,1,1,1
100,1,0,3,28.0,7.8958,2,3.0,1,1,0
102,0,0,1,21.0,77.2875,2,1.0,1,4,1
103,0,0,3,33.0,8.6542,2,1.0,1,1,0
104,0,0,3,37.0,7.925,2,1.0,1,1,2
105,0,0,3,28.0,7.8958,2,1.0,1,1,0
106,1,1,3,21.0,7.65,2,3.0,1,1,0
108,0,0,3,38.0,7.8958,2,1.0,1,1,0
110,0,0,1,47.0,52.0,2,1.0,1,2,0
111,1,0,3,14.5,14.4542,1,3.0,1,1,1
112,0,0,3,22.0,8.05,2,1.0,1,1,0
113,1,0,3,20.0,9.825,2,3.0,1,1,1
114,1,0,3,17.0,14.4583,1,3.0,1,1,0
115,0,0,3,21.0,7.925,2,1.0,5,1,0
116,0,0,3,70.5,7.75,3,1.0,1,1,0
117,0,0,2,29.0,21.0,2,1.0,1,1,1
118,0,0,1,24.0,247.5208,1,1.0,2,3,1
119,1,0,3,2.0,31.275,2,3.0,1,1,6
120,0,0,2,21.0,73.5,2,1.0,7,1,2
122,0,0,2,32.5,30.0708,1,1.0,1,1,1
123,1,1,2,32.5,13.0,2,3.0,1,5,0
124,0,0,1,54.0,77.2875,2,1.0,1,4,1
125,0,1,3,12.0,11.2417,1,4.0,1,1,1
127,0,1,3,24.0,7.1417,2,1.0,3,1,0
129,0,0,3,45.0,6.975,2,1.0,1,1,0
130,0,0,3,33.0,7.8958,1,1.0,1,1,0
131,0,0,3,20.0,7.05,2,1.0,6,1,0
132,1,0,3,47.0,14.5,2,2.0,4,1,1
133,1,1,2,29.0,26.0,2,2.0,1,1,1
134,0,0,2,25.0,13.0,2,1.0,3,1,0
135,0,0,2,23.0,15.0458,1,1.0,9,1,0
136,1,1,1,19.0,26.2833,2,3.0,1,4,2
137,0,0,1,37.0,53.1,2,1.0,1,2,1
138,0,0,3,16.0,9.2167,2,1.0,1,1,0
139,0,0,1,24.0,79.2,1,1.0,2,3,0
141,1,1,3,22.0,7.75,2,3.0,1,1,0
142,1,1,3,24.0,15.85,2,2.0,5,1,1
143,0,0,3,19.0,6.75,3,1.0,1,1,0
144,0,0,2,18.0,11.5,2,1.0,1,1,0
145,0,0,2,19.0,36.75,2,1.0,3,1,2
146,0,1,3,27.0,7.7958,2,1.0,1,1,0
147,1,0,3,9.0,34.375,2,3.0,10,1,4
148,0,0,2,36.5,26.0,2,1.0,1,7,2
149,0,0,2,42.0,13.0,2,5.0,1,1,0
150,0,0,2,51.0,12.525,2,5.0,7,1,0
151,1,1,1,22.0,66.6,2,2.0,1,2,1
152,0,0,3,55.5,8.05,2,1.0,4,1,0
153,0,0,3,40.5,14.5,2,1.0,4,1,2
155,0,0,1,51.0,61.3792,1,1.0,2,1,1
156,1,1,3,16.0,7.7333,3,3.0,1,1,0
157,0,0,3,30.0,8.05,2,1.0,6,1,0
160,0,0,3,44.0,16.1,2,1.0,1,1,1
161,1,1,2,40.0,15.75,2,2.0,3,1,0
162,0,0,3,26.0,7.775,2,1.0,1,1,0
163,0,0,3,17.0,8.6625,2,1.0,1,1,0
164,0,0,3,1.0,39.6875,2,4.0,1,1,5
165,0,1,3,9.0,20.525,2,4.0,1,1,2
167,1,0,3,45.0,27.9,2,2.0,1,1,5
169,0,0,3,28.0,56.4958,2,1.0,1,1,0
170,0,0,1,61.0,33.5,2,1.0,1,3,0
171,0,0,3,4.0,29.125,3,4.0,1,1,5
172,1,1,3,1.0,11.1333,2,3.0,1,1,2
173,0,0,3,21.0,7.925,2,1.0,5,1,0
174,0,0,1,56.0,30.6958,1,1.0,1,6,0
175,0,0,3,18.0,7.8542,2,1.0,1,1,2
177,1,0,1,50.0,28.7125,1,3.0,2,2,0
178,0,0,2,30.0,13.0,2,1.0,1,1,0
179,0,0,3,36.0,0.0,2,1.0,12,1,0
182,0,0,3,9.0,31.3875,2,4.0,1,1,6
183,0,1,2,1.0,39.0,2,4.0,1,7,3
184,1,1,3,4.0,22.025,2,3.0,1,1,2
187,0,1,1,45.0,26.55,2,1.0,1,1,0
188,0,0,3,40.0,15.5,3,1.0,1,1,2
189,0,0,3,36.0,7.8958,2,1.0,1,1,0
190,1,1,2,32.0,13.0,2,2.0,1,1,0
191,0,0,2,19.0,13.0,2,1.0,1,1,0
192,1,1,3,19.0,7.8542,2,3.0,1,1,1
193,0,1,2,3.0,26.0,2,4.0,1,7,2
194,1,1,1,44.0,27.7208,1,2.0,2,3,0
195,1,1,1,58.0,146.5208,1,3.0,2,3,0
197,0,0,3,42.0,8.4042,2,1.0,1,1,1
199,1,0,2,24.0,13.0,2,3.0,1,1,0
200,0,0,3,28.0,9.5,2,1.0,1,1,0
202,0,0,3,34.0,6.4958,2,1.0,1,1,0
203,0,0,3,45.5,7.225,1,1.0,1,1,0
204,0,1,3,18.0,8.05,2,1.0,4,1,0
205,1,0,3,2.0,10.4625,2,3.0,1,8,1
206,0,0,3,32.0,15.85,2,1.0,1,1,1
207,0,1,3,26.0,18.7875,1,1.0,1,1,0
208,1,1,3,16.0,7.75,3,3.0,1,1,0
209,0,1,1,40.0,31.0,1,1.0,1,6,0
210,0,0,3,24.0,7.05,2,1.0,6,1,0
211,1,1,2,35.0,21.0,2,3.0,11,1,0
212,0,0,3,22.0,7.25,2,1.0,4,1,0
213,0,0,2,30.0,13.0,2,1.0,1,1,0
215,1,1,1,31.0,113.275,1,3.0,1,4,1
216,1,1,3,27.0,7.925,2,3.0,5,1,0
217,0,0,2,42.0,27.0,2,1.0,1,1,1
218,1,1,1,32.0,76.2917,1,3.0,1,4,0
219,0,0,2,30.0,10.5,2,1.0,10,1,0
220,0,1,3,16.0,8.05,2,1.0,6,1,0
221,0,0,2,27.0,13.0,2,1.0,1,1,0
222,0,0,3,51.0,8.05,2,1.0,1,1,0
224,0,1,1,38.0,90.0,2,1.0,1,2,1
225,0,0,3,22.0,9.35,2,1.0,13,1,0
226,0,1,2,19.0,10.5,2,1.0,17,1,0
227,0,0,3,20.5,7.25,2,1.0,4,1,0
228,0,0,2,18.0,13.0,2,1.0,1,1,0
230,1,1,1,35.0,83.475,2,2.0,1,2,1
231,0,0,3,29.0,7.775,2,1.0,1,1,0
232,0,0,2,59.0,13.5,2,1.0,1,1,0
233,1,1,3,5.0,31.3875,2,3.0,1,1,6
234,0,0,2,24.0,10.5,2,1.0,3,1,0
236,0,0,2,44.0,26.0,2,1.0,1,1,1
237,1,1,2,8.0,26.25,2,3.0,3,1,2
238,0,0,2,19.0,10.5,2,1.0,1,1,0
239,0,0,2,33.0,12.275,2,1.0,16,1,0
242,0,0,2,29.0,10.5,2,1.0,10,1,0
243,0,0,3,22.0,7.125,2,1.0,5,1,0
244,0,0,3,30.0,7.225,1,1.0,1,1,0
245,0,0,1,44.0,90.0,3,6.0,1,2,2
246,1,0,3,25.0,7.775,2,3.0,1,1,0
247,1,1,2,24.0,14.5,2,2.0,1,1,2
248,0,1,1,37.0,52.5542,2,1.0,1,4,2
249,0,0,2,54.0,26.0,2,5.0,1,1,1
251,1,0,3,29.0,10.4625,2,2.0,1,8,2
252,0,0,1,62.0,26.55,2,1.0,1,2,0
253,0,0,3,30.0,16.1,2,1.0,4,1,1
254,1,0,3,41.0,20.2125,2,2.0,1,1,2
255,1,1,3,29.0,15.2458,1,2.0,1,1,2
257,1,1,1,30.0,86.5,2,3.0,1,3,0
258,1,1,1,35.0,512.3292,1,3.0,2,1,0
259,1,1,2,50.0,26.0,2,2.0,1,1,1
261,0,1,3,3.0,31.3875,2,4.0,1,1,6
262,0,0,1,52.0,79.65,2,1.0,1,5,2
263,0,0,1,40.0,0.0,2,1.0,1,3,0
265,0,0,2,36.0,10.5,2,1.0,3,1,0
266,0,0,3,16.0,39.6875,2,1.0,1,1,5
267,0,1,3,25.0,7.775,2,1.0,1,1,1
268,1,1,1,58.0,153.4625,2,2.0,2,2,1
269,1,1,1,35.0,135.6333,2,3.0,2,2,0
271,0,1,3,25.0,0.0,2,1.0,12,1,0
272,1,1,2,41.0,19.5,2,2.0,1,1,1
273,0,0,1,37.0,29.7,1,1.0,2,2,1
275,1,1,1,63.0,77.9583,2,3.0,1,4,1
276,1,0,3,45.0,7.75,2,3.0,1,1,0
278,0,0,3,7.0,29.125,3,4.0,1,1,5
279,1,1,3,35.0,20.25,2,2.0,3,1,2
280,0,0,3,65.0,7.75,3,1.0,1,1,0
281,0,0,3,28.0,7.8542,2,1.0,1,1,0
282,0,0,3,16.0,9.5,2,1.0,1,1,0
283,0,1,3,19.0,8.05,2,1.0,4,1,0
285,0,0,3,33.0,8.6625,1,1.0,1,1,0
286,0,1,3,30.0,9.5,2,1.0,1,1,0
287,0,0,3,22.0,7.8958,2,1.0,1,1,0
288,0,1,2,42.0,13.0,2,1.0,1,1,0
289,1,1,3,22.0,7.75,3,3.0,1,1,0
290,1,1,1,26.0,78.85,2,3.0,1,1,0
291,1,1,1,19.0,91.0792,1,2.0,1,3,1
292,0,0,2,36.0,12.875,1,1.0,9,4,0
293,1,0,3,24.0,8.85,2,3.0,1,1,0
294,0,0,3,24.0,7.8958,2,1.0,1,1,0
296,0,0,3,23.5,7.2292,1,1.0,1,1,0
297,1,0,1,2.0,151.55,2,3.0,1,2,3
299,1,1,1,50.0,247.5208,1,2.0,2,3,1
302,0,0,3,19.0,0.0,2,1.0,12,1,0
305,0,1,1,0.92,151.55,2,4.0,1,2,3
307,1,1,1,17.0,108.9,1,2.0,2,2,1
308,0,0,2,30.0,24.0,1,1.0,14,1,1
309,1,1,1,30.0,56.9292,1,3.0,2,5,0
310,1,1,1,24.0,83.1583,1,3.0,1,2,0
311,1,1,1,18.0,262.375,1,3.0,2,3,4
312,1,0,2,26.0,26.0,2,2.0,1,1,2
313,0,0,3,28.0,7.8958,2,1.0,1,1,0
314,0,0,2,43.0,26.25,2,1.0,11,1,2
315,1,1,3,26.0,7.8542,2,3.0,1,1,0
316,1,1,2,24.0,26.0,2,2.0,1,1,1
317,0,0,2,54.0,14.0,2,6.0,1,1,0
318,1,1,1,31.0,164.8667,2,3.0,1,2,2
319,1,1,1,40.0,134.5,1,2.0,1,5,2
320,0,0,3,22.0,7.25,2,1.0,4,1,0
321,0,0,3,27.0,7.8958,2,1.0,1,1,0
322,1,1,2,30.0,12.35,3,3.0,1,1,0
323,1,1,2,22.0,29.0,2,2.0,1,1,2
325,1,1,1,36.0,135.6333,1,3.0,2,2,0
326,0,0,3,61.0,6.2375,2,1.0,1,1,0
327,1,1,2,36.0,13.0,2,2.0,1,4,0
328,1,1,3,31.0,20.525,2,2.0,1,1,2
329,1,1,1,16.0,57.9792,1,3.0,1,3,1
331,0,0,1,45.5,28.5,2,1.0,1,2,0
332,0,0,1,38.0,153.4625,2,1.0,2,2,1
333,0,0,3,16.0,18.0,2,1.0,1,1,2
336,0,0,1,29.0,66.6,2,1.0,1,2,1
337,1,1,1,41.0,134.5,1,3.0,1,5,0
338,0,1,3,45.0,8.05,2,1.0,1,1,0
339,0,0,1,45.0,35.5,2,1.0,1,9,0
340,0,1,2,2.0,26.0,2,4.0,1,7,2
341,1,1,1,24.0,263.0,2,3.0,1,2,5
342,0,0,2,28.0,13.0,2,1.0,1,1,0
343,0,0,2,25.0,13.0,2,1.0,1,1,0
344,0,0,2,36.0,13.0,2,1.0,1,1,0
345,1,1,2,24.0,13.0,2,3.0,1,7,0
346,1,1,2,40.0,13.0,2,3.0,1,1,0
348,0,1,3,3.0,15.9,2,4.0,3,1,2
349,0,0,3,42.0,8.6625,2,1.0,1,1,0
350,0,0,3,23.0,9.225,2,1.0,1,1,0
352,0,0,3,15.0,7.2292,1,1.0,1,1,2
353,0,0,3,25.0,17.8,2,1.0,1,1,1
355,0,0,3,28.0,9.5,2,1.0,1,1,0
356,1,1,1,22.0,55.0,2,3.0,1,5,1
357,1,0,2,38.0,13.0,2,3.0,1,1,0
360,0,0,3,40.0,27.9,2,1.0,1,1,5
361,0,0,2,29.0,27.7208,1,1.0,9,1,1
362,1,0,3,45.0,14.4542,1,2.0,1,1,1
363,0,0,3,35.0,7.05,2,1.0,6,1,0
365,0,0,3,30.0,7.25,2,1.0,3,1,0
366,1,1,1,60.0,75.25,1,2.0,1,4,1
369,1,1,1,24.0,69.3,1,10.0,2,3,0
370,0,1,1,25.0,55.4417,1,1.0,1,5,1
371,0,0,3,18.0,6.4958,2,1.0,1,1,1
372,0,0,3,19.0,8.05,2,1.0,1,1,0
373,0,0,1,22.0,135.6333,1,1.0,2,1,0
374,1,0,3,3.0,21.075,2,3.0,1,1,4
376,1,1,3,22.0,7.25,2,3.0,3,1,0
377,0,0,1,27.0,211.5,1,1.0,1,2,2
378,0,0,3,20.0,4.0125,1,1.0,1,1,0
379,0,0,3,19.0,7.775,2,1.0,1,1,0
380,1,1,1,42.0,227.525,1,3.0,2,1,0
381,1,1,3,1.0,15.7417,1,3.0,1,1,2
382,0,0,3,32.0,7.925,2,1.0,5,1,0
383,1,1,1,35.0,52.0,2,2.0,1,1,1
385,0,0,2,18.0,73.5,2,1.0,7,1,0
386,0,0,3,1.0,46.9,2,4.0,8,1,7
387,1,1,2,36.0,13.0,2,3.0,1,1,0
389,1,1,2,17.0,12.0,1,3.0,9,1,0
390,0,1,1,36.0,120.0,2,1.0,1,3,3
391,0,1,3,21.0,7.7958,2,1.0,1,1,0
392,0,0,3,28.0,7.925,2,1.0,1,1,2
393,1,1,1,23.0,113.275,1,3.0,1,4,1
394,1,1,3,24.0,16.7,2,2.0,13,8,2
395,0,0,3,22.0,7.7958,2,1.0,1,1,0
396,1,0,3,31.0,7.8542,2,3.0,1,1,0
397,0,0,2,46.0,26.0,2,1.0,1,1,0
398,0,0,2,23.0,10.5,2,6.0,1,1,0
399,1,1,2,28.0,12.65,2,2.0,1,1,0
400,0,1,3,39.0,7.925,2,1.0,5,1,0
401,0,0,3,26.0,8.05,2,1.0,1,1,0
402,1,0,3,21.0,9.825,2,3.0,1,1,1
403,0,0,3,28.0,15.85,2,1.0,5,1,1
404,1,0,3,20.0,8.6625,2,3.0,1,1,0
405,0,0,2,34.0,21.0,2,1.0,1,1,1
406,0,0,3,51.0,7.75,2,1.0,1,1,0
407,0,1,2,3.0,18.75,2,4.0,1,1,2
408,0,0,3,21.0,7.775,2,1.0,1,1,0
412,1,1,1,33.0,90.0,3,3.0,1,2,1
414,0,1,3,44.0,7.925,2,1.0,5,1,0
416,1,1,2,34.0,32.5,2,2.0,1,1,2
417,1,1,2,18.0,13.0,2,3.0,1,1,2
418,0,0,2,30.0,13.0,2,1.0,1,1,0
419,1,0,3,10.0,24.15,2,3.0,1,1,2
421,0,0,3,21.0,7.7333,3,1.0,4,1,0
422,0,0,3,29.0,7.875,2,1.0,1,1,0
423,1,0,3,28.0,14.4,2,2.0,1,1,2
424,0,0,3,18.0,20.2125,2,1.0,1,1,2
426,1,1,2,28.0,26.0,2,2.0,1,1,1
427,1,1,2,19.0,26.0,2,3.0,1,1,0
429,0,1,3,32.0,8.05,2,1.0,6,5,0
430,0,1,1,28.0,26.55,2,1.0,1,2,0
432,1,1,2,42.0,26.0,2,2.0,9,1,1
433,0,0,3,17.0,7.125,2,1.0,5,1,0
434,0,0,1,50.0,55.9,2,1.0,1,5,1
435,1,1,1,14.0,120.0,2,3.0,1,3,3
436,1,0,3,21.0,34.375,2,3.0,10,1,4
437,1,1,2,24.0,18.75,2,2.0,1,1,5
438,0,0,1,64.0,263.0,2,1.0,1,2,5
439,0,0,2,31.0,10.5,2,1.0,3,1,0
440,1,1,2,45.0,26.25,2,2.0,11,1,2
441,0,0,3,20.0,9.5,2,1.0,1,1,0
442,0,0,3,25.0,7.775,2,1.0,1,1,1
