,Sex,Survived,Pclass,Age,Fare,Embarked,Titles,TicketTitles,CabinTitles,FamilyType
443,1,1,2,28.0,13.0,2,11.0,1,1,0
445,0,1,1,4.0,81.8583,2,4.0,1,6,2
446,1,1,2,13.0,19.5,2,3.0,1,1,1
447,0,1,1,34.0,26.55,2,1.0,1,1,0
448,1,1,3,5.0,19.2583,1,3.0,1,1,3
449,0,1,1,52.0,30.5,2,7.0,1,2,0
450,0,0,2,36.0,27.75,2,1.0,3,1,3
452,0,0,1,30.0,27.75,1,1.0,1,2,0
453,0,1,1,49.0,89.1042,1,1.0,1,2,1
455,0,1,3,29.0,7.8958,1,1.0,1,1,0
456,0,0,1,65.0,26.55,2,1.0,1,5,0
458,1,1,2,50.0,10.5,2,3.0,11,1,0
460,0,1,1,48.0,26.55,2,1.0,1,5,0
461,0,0,3,34.0,8.05,2,1.0,1,1,0
462,0,0,1,47.0,38.5,2,1.0,1,5,0
463,0,0,2,48.0,13.0,2,1.0,1,1,0
465,0,0,3,38.0,7.05,2,1.0,6,1,0
467,0,0,1,56.0,26.55,2,1.0,1,1,0
469,1,1,3,0.75,19.2583,1,3.0,1,1,3
471,0,0,3,38.0,8.6625,2,1.0,1,1,0
472,1,1,2,33.0,27.75,2,2.0,3,1,3
473,1,1,2,23.0,13.7917,1,2.0,9,4,0
474,1,0,3,22.0,9.8375,2,3.0,1,1,0
476,0,0,2,34.0,21.0,2,1.0,1,1,1
477,0,0,3,29.0,7.0458,2,1.0,1,1,1
478,0,0,3,22.0,7.5208,2,1.0,1,1,0
479,1,1,3,2.0,12.2875,2,3.0,1,1,1
480,0,0,3,9.0,46.9,2,4.0,8,1,7
482,0,0,3,50.0,8.05,2,1.0,4,1,0
483,1,1,3,63.0,9.5875,2,2.0,1,1,0
484,0,1,1,25.0,91.0792,1,1.0,1,3,1
486,1,1,1,35.0,90.0,2,2.0,1,2,1
487,0,0,1,58.0,29.7,1,1.0,1,3,0
488,0,0,3,30.0,8.05,2,1.0,4,1,0
489,0,1,3,9.0,15.9,2,4.0,3,1,2
491,0,0,3,21.0,7.25,2,1.0,6,1,0
492,0,0,1,55.0,30.5,2,1.0,1,2,0
493,0,0,1,71.0,49.5042,1,1.0,2,1,0
494,0,0,3,21.0,8.05,2,1.0,4,1,0
496,1,1,1,54.0,78.2667,1,3.0,1,4,1
498,1,0,1,25.0,151.55,2,2.0,1,2,3
499,0,0,3,24.0,7.7958,2,1.0,1,1,0
500,0,0,3,17.0,8.6625,2,1.0,1,1,0
501,1,0,3,21.0,7.75,3,3.0,1,1,0
503,1,0,3,37.0,9.5875,2,3.0,1,1,0
504,1,1,1,16.0,86.5,2,3.0,1,3,0
505,0,0,1,18.0,108.9,1,1.0,2,2,1
506,1,1,2,33.0,26.0,2,2.0,1,1,2
508,0,0,3,28.0,22.525,2,1.0,3,1,0
509,0,1,3,26.0,56.4958,2,1.0,1,1,0
510,0,1,3,29.0,7.75,3,1.0,1,1,0
512,0,1,1,36.0,26.2875,2,1.0,2,5,0
513,1,1,1,54.0,59.4,1,2.0,2,1,1
514,0,0,3,24.0,7.4958,2,1.0,1,1,0
515,0,0,1,47.0,34.0208,2,1.0,1,4,0
516,1,1,2,34.0,10.5,2,2.0,3,7,0
518,1,1,2,36.0,26.0,2,2.0,1,1,1
519,0,0,3,32.0,7.8958,2,1.0,1,1,0
520,1,1,1,30.0,93.5,2,3.0,1,3,0
521,0,0,3,22.0,7.8958,2,1.0,1,1,0
523,1,1,1,44.0,57.9792,1,2.0,1,3,1
525,0,0,3,40.5,7.75,3,1.0,1,1,0
526,1,1,2,50.0,10.5,2,3.0,10,1,0
528,0,0,3,39.0,7.925,2,1.0,1,1,0
529,0,0,2,23.0,11.5,2,1.0,1,1,3
530,1,1,2,2.0,26.0,2,3.0,1,1,2
532,0,0,3,17.0,7.2292,1,1.0,1,1,2
534,1,0,3,30.0,8.6625,2,3.0,1,1,0
535,1,1,2,7.0,26.25,2,3.0,11,1,2
536,0,0,1,45.0,26.55,2,7.0,1,3,0
537,1,1,1,30.0,106.425,1,3.0,2,1,0
539,1,1,1,22.0,49.5,1,3.0,1,3,2
540,1,1,1,36.0,71.0,2,3.0,15,3,2
541,1,0,3,9.0,31.275,2,3.0,1,1,6
542,1,0,3,11.0,31.275,2,3.0,1,1,6
543,0,1,2,32.0,26.0,2,1.0,1,1,1
544,0,0,1,50.0,106.425,1,1.0,2,2,1
545,0,0,1,64.0,26.0,2,1.0,1,1,0
546,1,1,2,19.0,26.0,2,2.0,1,1,1
548,0,0,3,33.0,20.525,2,1.0,1,1,2
549,0,1,2,8.0,36.75,2,4.0,3,1,2
550,0,1,1,17.0,110.8833,1,1.0,1,2,2
551,0,0,2,27.0,26.0,2,1.0,1,1,0
553,0,1,3,22.0,7.225,1,1.0,1,1,0
554,1,1,3,22.0,7.775,2,3.0,1,1,0
555,0,0,1,62.0,26.55,2,1.0,1,1,0
556,1,1,1,48.0,39.6,1,12.0,1,6,1
558,1,1,1,39.0,79.65,2,2.0,1,5,2
559,1,1,3,36.0,17.4,2,2.0,1,1,1
561,0,0,3,40.0,7.8958,2,1.0,1,1,0
562,0,0,2,28.0,13.5,2,1.0,1,1,0
565,0,0,3,24.0,24.15,2,1.0,4,1,2
566,0,0,3,19.0,7.8958,2,1.0,1,1,0
567,1,0,3,29.0,21.075,2,2.0,1,1,4
569,0,1,3,32.0,7.8542,2,1.0,1,1,0
570,0,1,2,62.0,10.5,2,1.0,7,1,0
571,1,1,1,53.0,51.4792,2,2.0,1,2,2
572,0,1,1,36.0,26.3875,2,1.0,2,5,0
574,0,0,3,16.0,8.05,2,1.0,4,1,0
575,0,0,3,19.0,14.5,2,1.0,1,1,0
576,1,1,2,34.0,13.0,2,3.0,1,1,0
577,1,1,1,39.0,55.9,2,2.0,1,5,1
579,0,1,3,32.0,7.925,2,1.0,5,1,0
580,1,1,2,25.0,30.0,2,3.0,1,1,2
581,1,1,1,39.0,110.8833,1,2.0,1,2,2
582,0,0,2,54.0,26.0,2,1.0,1,1,0
583,0,0,1,36.0,40.125,1,1.0,1,6,0
585,1,1,1,18.0,79.65,2,3.0,1,5,2
586,0,0,2,47.0,15.0,2,1.0,1,1,0
587,0,1,1,60.0,79.2,1,1.0,1,3,2
588,0,0,3,22.0,8.05,2,1.0,1,1,0
590,0,0,3,35.0,7.125,2,1.0,5,1,0
591,1,1,1,52.0,78.2667,1,2.0,1,4,1
592,0,0,3,47.0,7.25,2,1.0,4,1,0
594,0,0,2,37.0,26.0,2,1.0,9,1,1
595,0,0,3,36.0,24.15,2,1.0,1,1,2
597,0,0,3,49.0,0.0,2,1.0,12,1,0
599,0,1,1,49.0,56.9292,1,13.0,2,6,1
600,1,1,2,24.0,27.0,2,2.0,1,1,3
603,0,0,3,44.0,8.05,2,1.0,1,1,0
604,0,1,1,35.0,26.55,1,1.0,1,1,0
605,0,0,3,36.0,15.55,2,1.0,1,1,1
606,0,0,3,30.0,7.8958,2,1.0,1,1,0
607,0,1,1,27.0,30.5,2,1.0,1,1,0
608,1,1,2,22.0,41.5792,1,2.0,9,1,3
609,1,1,1,40.0,153.4625,2,3.0,2,2,0
610,1,0,3,39.0,31.275,2,2.0,1,1,6
614,0,0,3,35.0,8.05,2,1.0,1,1,0
615,1,1,2,24.0,65.0,2,3.0,1,1,3
616,0,0,3,34.0,14.4,2,1.0,1,1,2
617,1,0,3,26.0,16.1,2,2.0,4,1,1
618,1,1,2,4.0,39.0,2,3.0,1,7,3
619,0,0,2,26.0,10.5,2,1.0,1,1,0
620,0,0,3,27.0,14.4542,1,1.0,1,1,1
621,0,1,1,42.0,52.5542,2,1.0,1,4,1
622,0,1,3,20.0,15.7417,1,1.0,1,1,2
623,0,0,3,21.0,7.8542,2,1.0,1,1,0
624,0,0,3,21.0,16.1,2,1.0,1,1,0
625,0,0,1,61.0,32.3208,2,1.0,1,4,0
626,0,0,2,57.0,12.35,3,5.0,1,1,0
627,1,1,1,21.0,77.9583,2,3.0,1,4,0
628,0,0,3,26.0,7.8958,2,1.0,1,1,0
630,0,1,1,80.0,30.0,2,1.0,1,6,0
631,0,0,3,51.0,7.0542,2,1.0,1,1,0
632,0,1,1,32.0,30.5,1,6.0,1,3,0
634,1,0,3,9.0,27.9,2,3.0,1,1,5
635,1,1,2,28.0,13.0,2,3.0,1,1,0
636,0,0,3,32.0,7.925,2,1.0,5,1,0
637,0,0,2,31.0,26.25,2,1.0,3,1,2
638,1,0,3,41.0,39.6875,2,2.0,1,1,5
640,0,0,3,20.0,7.8542,2,1.0,1,1,0
641,1,1,1,24.0,69.3,1,14.0,2,3,0
642,1,0,3,2.0,27.9,2,3.0,1,1,5
644,1,1,3,0.75,19.2583,1,3.0,1,1,3
645,0,1,1,48.0,76.7292,1,1.0,2,4,1
646,0,0,3,19.0,7.8958,2,1.0,1,1,0
647,0,1,1,56.0,35.5,1,8.0,1,6,0
649,1,1,3,23.0,7.55,2,3.0,8,1,0
651,1,1,2,18.0,23.0,2,3.0,1,1,1
652,0,0,3,21.0,8.4333,2,1.0,1,1,0
654,1,0,3,18.0,6.75,3,3.0,1,1,0
655,0,0,2,24.0,73.5,2,1.0,7,1,2
657,1,0,3,32.0,15.5,3,2.0,1,1,2
658,0,0,2,23.0,13.0,2,1.0,1,1,0
659,0,0,1,58.0,113.275,1,1.0,1,4,2
660,0,1,1,50.0,133.65,2,6.0,2,1,2
661,0,0,3,40.0,7.225,1,1.0,1,1,0
662,0,0,1,47.0,25.5875,2,1.0,1,5,0
663,0,0,3,36.0,7.4958,2,1.0,1,1,0
664,0,1,3,20.0,7.925,2,1.0,5,1,1
665,0,0,2,32.0,73.5,2,1.0,7,1,2
666,0,0,2,25.0,13.0,2,1.0,1,1,0
668,0,0,3,43.0,8.05,2,1.0,4,1,0
670,1,1,2,40.0,39.0,2,2.0,1,1,2
671,0,0,1,31.0,52.0,2,1.0,11,3,1
672,0,0,2,70.0,10.5,2,1.0,3,1,0
673,0,1,2,31.0,13.0,2,1.0,1,1,0
675,0,0,3,18.0,7.775,2,1.0,1,1,0
676,0,0,3,24.5,8.05,2,1.0,1,1,0
677,1,1,3,18.0,9.8417,2,3.0,1,1,0
678,1,0,3,43.0,46.9,2,2.0,8,1,7
679,0,1,1,36.0,512.3292,1,1.0,2,3,1
681,0,1,1,27.0,76.7292,1,1.0,2,4,0
682,0,0,3,20.0,9.225,2,1.0,1,1,0
683,0,0,3,14.0,46.9,2,1.0,8,1,7
684,0,0,2,60.0,39.0,2,1.0,1,1,2
685,0,0,2,25.0,41.5792,1,1.0,9,1,3
686,0,0,3,14.0,39.6875,2,1.0,1,1,5
687,0,0,3,19.0,10.1708,2,1.0,1,1,0
688,0,0,3,18.0,7.7958,2,1.0,1,1,0
689,1,1,1,15.0,211.3375,2,3.0,1,3,1
690,0,1,1,31.0,57.0,2,1.0,1,3,1
691,1,1,3,4.0,13.4167,1,3.0,1,1,1
693,0,0,3,25.0,7.225,1,1.0,1,1,0
694,0,0,1,60.0,26.55,2,8.0,1,1,0
695,0,0,2,52.0,13.5,2,1.0,1,1,0
696,0,0,3,44.0,8.05,2,1.0,1,1,0
698,0,0,1,49.0,110.8833,1,1.0,1,2,2
699,0,0,3,42.0,7.65,2,1.0,1,7,0
700,1,1,1,18.0,227.525,1,2.0,2,2,1
701,0,1,1,35.0,26.2875,2,1.0,2,5,0
702,1,0,3,18.0,14.4542,1,3.0,1,1,1
703,0,0,3,25.0,7.7417,3,1.0,1,1,0
704,0,0,3,26.0,7.8542,2,1.0,1,1,1
705,0,0,2,39.0,26.0,2,1.0,1,1,0
706,1,1,2,45.0,13.5,2,2.0,1,1,0
707,0,1,1,42.0,26.2875,2,1.0,2,5,0
708,1,1,1,22.0,151.55,2,3.0,1,1,0
710,1,1,1,24.0,49.5042,1,14.0,2,2,0
712,0,1,1,48.0,52.0,2,1.0,1,2,1
713,0,0,3,29.0,9.4833,2,1.0,1,1,0
714,0,0,2,52.0,13.0,2,1.0,1,1,0
715,0,0,3,19.0,7.65,2,1.0,1,7,0
716,1,1,1,38.0,227.525,1,3.0,2,2,0
717,1,1,2,27.0,10.5,2,3.0,1,5,0
719,0,0,3,33.0,7.775,2,1.0,1,1,0
720,1,1,2,6.0,33.0,2,3.0,1,1,1
721,0,0,3,17.0,7.0542,2,1.0,1,1,1
722,0,0,2,34.0,13.0,2,1.0,1,1,0
723,0,0,2,50.0,13.0,2,1.0,1,1,0
724,0,1,1,27.0,53.1,2,1.0,1,5,1
725,0,0,3,20.0,8.6625,2,1.0,1,1,0
726,1,1,2,30.0,21.0,2,2.0,1,1,3
728,0,0,2,25.0,26.0,2,1.0,1,1,1
729,1,0,3,25.0,7.925,2,3.0,5,1,1
730,1,1,1,29.0,211.3375,2,3.0,1,3,0
731,0,0,3,11.0,18.7875,1,1.0,1,1,0
733,0,0,2,23.0,13.0,2,1.0,1,1,0
734,0,0,2,23.0,13.0,2,1.0,1,1,0
735,0,0,3,28.5,16.1,2,1.0,1,1,0
736,1,0,3,48.0,34.375,2,2.0,10,1,4
737,0,1,1,35.0,512.3292,1,1.0,2,3,0
741,0,0,1,36.0,78.85,2,1.0,1,2,1
742,1,1,1,21.0,262.375,1,3.0,2,3,4
743,0,0,3,24.0,16.1,2,1.0,1,1,1
744,0,1,3,31.0,7.925,2,1.0,5,1,0
745,0,0,1,70.0,71.0,2,15.0,15,3,2
746,0,0,3,16.0,20.25,2,1.0,3,1,2
747,1,1,2,30.0,13.0,2,3.0,1,1,0
748,0,0,1,19.0,53.1,2,1.0,1,4,1
749,0,0,3,31.0,7.75,3,1.0,1,1,0
750,1,1,2,4.0,23.0,2,3.0,1,1,2
751,0,1,3,6.0,12.475,2,4.0,1,5,1
752,0,0,3,33.0,9.5,2,1.0,1,1,0
753,0,0,3,23.0,7.8958,2,1.0,1,1,0
754,1,1,2,48.0,65.0,2,2.0,1,1,3
755,0,1,2,0.67,14.5,2,4.0,1,1,2
756,0,0,3,28.0,7.7958,2,1.0,1,1,0
757,0,0,2,18.0,11.5,2,1.0,1,1,0
758,0,0,3,34.0,8.05,2,1.0,1,1,0
761,0,0,3,41.0,7.125,2,1.0,6,1,0
762,0,1,3,20.0,7.2292,1,1.0,1,1,0
763,1,1,1,36.0,120.0,2,2.0,1,3,3
764,0,0,3,16.0,7.775,2,1.0,1,1,0
765,1,1,1,51.0,77.9583,2,2.0,1,4,1
767,1,0,3,30.5,7.75,3,3.0,1,1,0
769,0,0,3,32.0,8.3625,2,1.0,1,1,0
770,0,0,3,24.0,9.5,2,1.0,1,1,0
771,0,0,3,48.0,7.8542,2,1.0,1,1,0
772,1,0,2,57.0,10.5,2,2.0,7,5,0
774,1,1,2,54.0,23.0,2,2.0,1,1,4
775,0,0,3,18.0,7.75,2,1.0,1,1,0
777,1,1,3,5.0,12.475,2,3.0,1,1,0
779,1,1,1,43.0,211.3375,2,2.0,1,3,1
780,1,1,3,13.0,7.2292,1,3.0,1,1,0
781,1,1,1,17.0,57.0,2,2.0,1,3,1
782,0,0,1,29.0,30.0,2,1.0,1,4,0
784,0,0,3,25.0,7.05,2,1.0,6,1,0
785,0,0,3,25.0,7.25,2,1.0,1,1,0
786,1,1,3,18.0,7.4958,2,3.0,1,1,0
787,0,0,3,8.0,29.125,3,4.0,1,1,5
788,0,1,3,1.0,20.575,2,4.0,3,1,3
789,0,0,1,46.0,79.2,1,1.0,2,3,0
791,0,0,2,16.0,26.0,2,1.0,1,1,0
794,0,0,3,25.0,7.8958,2,1.0,1,1,0
795,0,0,2,39.0,13.0,2,1.0,1,1,0
796,1,1,1,49.0,25.9292,2,6.0,1,4,0
797,1,1,3,31.0,8.6833,2,2.0,1,1,0
798,0,0,3,30.0,7.2292,1,1.0,1,1,0
799,1,0,3,30.0,24.15,2,2.0,1,1,2
800,0,0,2,34.0,13.0,2,1.0,1,1,0
801,1,1,2,31.0,26.25,2,2.0,3,1,2
802,0,1,1,11.0,120.0,2,4.0,1,3,3
803,0,1,3,0.42,8.5167,1,4.0,1,1,1
804,0,1,3,27.0,6.975,2,1.0,1,1,0
805,0,0,3,31.0,7.775,2,1.0,1,1,0
806,0,0,1,39.0,0.0,2,1.0,1,6,0
807,1,0,3,18.0,7.775,2,3.0,1,1,0
808,0,0,2,39.0,13.0,2,1.0,1,1,0
809,1,1,1,33.0,53.1,2,2.0,1,5,1
810,0,0,3,26.0,7.8875,2,1.0,1,1,0
811,0,0,3,39.0,24.15,2,1.0,4,1,0
812,0,0,2,35.0,10.5,2,1.0,1,1,0
813,1,0,3,6.0,31.275,2,3.0,1,1,6
814,0,0,3,30.5,8.05,2,1.0,1,1,0
816,1,0,3,23.0,7.925,2,3.0,5,1,0
817,0,0,2,31.0,37.0042,1,1.0,7,1,2
818,0,0,3,43.0,6.45,2,1.0,3,1,0
819,0,0,3,10.0,27.9,2,4.0,1,1,5
820,1,1,1,52.0,93.5,2,2.0,1,3,2
821,0,1,3,27.0,8.6625,2,1.0,1,1,0
822,0,0,1,38.0,0.0,2,16.0,1,1,0
823,1,1,3,27.0,12.475,2,2.0,1,5,1
824,0,0,3,2.0,39.6875,2,4.0,1,1,5
827,0,1,2,1.0,37.0042,1,4.0,7,1,2
830,1,1,3,15.0,14.4542,1,2.0,1,1,1
831,0,1,2,0.83,18.75,2,4.0,1,1,2
833,0,0,3,23.0,7.8542,2,1.0,1,1,0
834,0,0,3,18.0,8.3,2,1.0,1,1,0
835,1,1,1,39.0,83.1583,1,3.0,2,5,2
836,0,0,3,21.0,8.6625,2,1.0,1,1,0
838,0,1,3,32.0,56.4958,2,1.0,1,1,0
840,0,0,3,20.0,7.925,2,1.0,6,1,0
841,0,0,2,16.0,10.5,2,1.0,7,1,0
842,1,1,1,30.0,31.0,1,3.0,1,1,0
843,0,0,3,34.5,6.4375,1,1.0,1,1,0
844,0,0,3,17.0,8.6625,2,1.0,1,1,0
845,0,0,3,42.0,7.55,2,1.0,3,1,0
847,0,0,3,35.0,7.8958,1,1.0,1,1,0
848,0,0,2,28.0,33.0,2,5.0,1,1,1
850,0,0,3,4.0,31.275,2,4.0,1,1,6
851,0,0,3,74.0,7.775,2,1.0,1,1,0
852,1,0,3,9.0,15.2458,1,3.0,1,1,2
853,1,1,1,16.0,39.4,2,3.0,2,4,1
854,1,0,2,44.0,26.0,2,2.0,1,1,1
855,1,1,3,18.0,9.35,2,2.0,1,1,1
856,1,1,1,45.0,164.8667,2,2.0,1,1,2
857,0,1,1,51.0,26.55,2,1.0,1,5,0
858,1,1,3,24.0,19.2583,1,2.0,1,1,3
860,0,0,3,41.0,14.1083,2,1.0,1,1,2
861,0,0,2,21.0,11.5,2,1.0,1,1,1
862,1,1,1,48.0,25.9292,2,2.0,1,4,0
864,0,0,2,24.0,13.0,2,1.0,1,1,0
865,1,1,2,42.0,13.0,2,2.0,1,1,0
866,1,1,2,27.0,13.8583,1,3.0,9,1,1
867,0,0,1,31.0,50.4958,2,1.0,2,6,0
869,0,1,3,4.0,11.1333,2,4.0,1,1,2
870,0,0,3,26.0,7.8958,2,1.0,1,1,0
871,1,1,1,47.0,52.5542,2,2.0,1,4,2
872,0,0,1,33.0,5.0,2,1.0,1,3,0
873,0,0,3,47.0,9.0,2,1.0,1,1,0
874,1,1,2,28.0,24.0,1,2.0,14,1,1
875,1,1,3,15.0,7.225,1,3.0,1,1,0
876,0,0,3,20.0,9.8458,2,1.0,1,1,0
877,0,0,3,19.0,7.8958,2,1.0,1,1,0
879,1,1,1,56.0,83.1583,1,2.0,1,2,1
880,1,1,2,25.0,26.0,2,2.0,1,1,1
881,0,0,3,33.0,7.8958,2,1.0,1,1,0
882,1,0,3,22.0,10.5167,2,3.0,1,1,0
883,0,0,2,28.0,10.5,2,1.0,3,1,0
884,0,0,3,25.0,7.05,2,1.0,6,1,0
885,1,0,3,39.0,29.125,3,2.0,1,1,5
886,0,0,2,27.0,13.0,2,5.0,1,1,0
887,1,1,1,19.0,30.0,2,3.0,1,3,0
889,0,1,1,26.0,30.0,1,1.0,1,2,0
890,0,0,3,32.0,7.75,3,1.0,1,1,0
